# kapture format: 1.0
# sensor_id, name, sensor_type, [sensor_params]+
testing_light_1_occlusion_1_frame_0, , camera, PINHOLE, 1920, 1080, 1339.994, 1339.994, 959.5, 539.5
testing_light_1_occlusion_1_frame_116, , camera, PINHOLE, 1920, 1080, 805.9533, 805.9533, 959.5, 539.5
testing_light_1_occlusion_1_frame_117, , camera, PINHOLE, 1920, 1080, 1471.592, 1471.592, 959.5, 539.5
testing_light_1_occlusion_1_frame_118, , camera, PINHOLE, 1920, 1080, 786.2279, 786.2279, 959.5, 539.5
testing_light_1_occlusion_1_frame_119, , camera, PINHOLE, 1920, 1080, 1774.832, 1774.832, 959.5, 539.5
testing_light_1_occlusion_1_frame_120, , camera, PINHOLE, 1920, 1080, 1370.371, 1370.371, 959.5, 539.5
testing_light_1_occlusion_1_frame_121, , camera, PINHOLE, 1920, 1080, 1324.173, 1324.173, 959.5, 539.5
testing_light_1_occlusion_1_frame_122, , camera, PINHOLE, 1920, 1080, 1681.57, 1681.57, 959.5, 539.5
testing_light_1_occlusion_1_frame_123, , camera, PINHOLE, 1920, 1080, 1687.509, 1687.509, 959.5, 539.5
testing_light_1_occlusion_1_frame_124, , camera, PINHOLE, 1920, 1080, 1133.996, 1133.996, 959.5, 539.5
testing_light_1_occlusion_1_frame_125, , camera, PINHOLE, 1920, 1080, 1743.433, 1743.433, 959.5, 539.5
testing_light_1_occlusion_1_frame_126, , camera, PINHOLE, 1920, 1080, 1768.768, 1768.768, 959.5, 539.5
testing_light_1_occlusion_1_frame_127, , camera, PINHOLE, 1920, 1080, 1977.859, 1977.859, 959.5, 539.5
testing_light_1_occlusion_1_frame_128, , camera, PINHOLE, 1920, 1080, 1758.109, 1758.109, 959.5, 539.5
testing_light_1_occlusion_1_frame_129, , camera, PINHOLE, 1920, 1080, 1417.463, 1417.463, 959.5, 539.5
testing_light_1_occlusion_1_frame_130, , camera, PINHOLE, 1920, 1080, 1730.401, 1730.401, 959.5, 539.5
testing_light_1_occlusion_1_frame_131, , camera, PINHOLE, 1920, 1080, 1966.609, 1966.609, 959.5, 539.5
testing_light_1_occlusion_1_frame_132, , camera, PINHOLE, 1920, 1080, 1593.404, 1593.404, 959.5, 539.5
testing_light_1_occlusion_1_frame_133, , camera, PINHOLE, 1920, 1080, 1613.428, 1613.428, 959.5, 539.5
testing_light_1_occlusion_1_frame_134, , camera, PINHOLE, 1920, 1080, 1307.272, 1307.272, 959.5, 539.5
testing_light_1_occlusion_1_frame_135, , camera, PINHOLE, 1920, 1080, 1208.566, 1208.566, 959.5, 539.5
testing_light_1_occlusion_1_frame_136, , camera, PINHOLE, 1920, 1080, 1906.291, 1906.291, 959.5, 539.5
testing_light_1_occlusion_1_frame_137, , camera, PINHOLE, 1920, 1080, 877.0792, 877.0792, 959.5, 539.5
testing_light_1_occlusion_1_frame_138, , camera, PINHOLE, 1920, 1080, 1216.695, 1216.695, 959.5, 539.5
testing_light_1_occlusion_1_frame_139, , camera, PINHOLE, 1920, 1080, 1433.675, 1433.675, 959.5, 539.5
testing_light_1_occlusion_1_frame_140, , camera, PINHOLE, 1920, 1080, 911.2003, 911.2003, 959.5, 539.5
testing_light_1_occlusion_1_frame_141, , camera, PINHOLE, 1920, 1080, 965.4904, 965.4904, 959.5, 539.5
testing_light_1_occlusion_1_frame_142, , camera, PINHOLE, 1920, 1080, 1314.135, 1314.135, 959.5, 539.5
testing_light_1_occlusion_1_frame_143, , camera, PINHOLE, 1920, 1080, 1001.959, 1001.959, 959.5, 539.5
testing_light_1_occlusion_1_frame_144, , camera, PINHOLE, 1920, 1080, 1016.044, 1016.044, 959.5, 539.5
testing_light_1_occlusion_1_frame_145, , camera, PINHOLE, 1920, 1080, 922.3695, 922.3695, 959.5, 539.5
testing_light_1_occlusion_1_frame_146, , camera, PINHOLE, 1920, 1080, 1600.62, 1600.62, 959.5, 539.5
testing_light_1_occlusion_1_frame_147, , camera, PINHOLE, 1920, 1080, 1055.986, 1055.986, 959.5, 539.5
testing_light_1_occlusion_1_frame_148, , camera, PINHOLE, 1920, 1080, 1291.855, 1291.855, 959.5, 539.5
testing_light_1_occlusion_1_frame_149, , camera, PINHOLE, 1920, 1080, 1492.824, 1492.824, 959.5, 539.5
testing_light_1_occlusion_1_frame_150, , camera, PINHOLE, 1920, 1080, 1044.916, 1044.916, 959.5, 539.5
testing_light_1_occlusion_1_frame_151, , camera, PINHOLE, 1920, 1080, 1394.284, 1394.284, 959.5, 539.5
testing_light_1_occlusion_1_frame_152, , camera, PINHOLE, 1920, 1080, 1639.431, 1639.431, 959.5, 539.5
testing_light_1_occlusion_1_frame_153, , camera, PINHOLE, 1920, 1080, 1415.3, 1415.3, 959.5, 539.5
testing_light_1_occlusion_1_frame_154, , camera, PINHOLE, 1920, 1080, 1440.22, 1440.22, 959.5, 539.5
testing_light_1_occlusion_1_frame_155, , camera, PINHOLE, 1920, 1080, 1070.739, 1070.739, 959.5, 539.5
testing_light_1_occlusion_1_frame_156, , camera, PINHOLE, 1920, 1080, 1419.758, 1419.758, 959.5, 539.5
testing_light_1_occlusion_1_frame_157, , camera, PINHOLE, 1920, 1080, 1440.435, 1440.435, 959.5, 539.5
testing_light_1_occlusion_1_frame_158, , camera, PINHOLE, 1920, 1080, 1420.855, 1420.855, 959.5, 539.5
testing_light_1_occlusion_1_frame_159, , camera, PINHOLE, 1920, 1080, 1611.357, 1611.357, 959.5, 539.5
testing_light_1_occlusion_1_frame_160, , camera, PINHOLE, 1920, 1080, 1096.282, 1096.282, 959.5, 539.5
testing_light_1_occlusion_1_frame_161, , camera, PINHOLE, 1920, 1080, 1867.771, 1867.771, 959.5, 539.5
testing_light_1_occlusion_1_frame_162, , camera, PINHOLE, 1920, 1080, 1284.321, 1284.321, 959.5, 539.5
testing_light_1_occlusion_1_frame_163, , camera, PINHOLE, 1920, 1080, 1117.143, 1117.143, 959.5, 539.5
testing_light_1_occlusion_1_frame_164, , camera, PINHOLE, 1920, 1080, 1450.531, 1450.531, 959.5, 539.5
testing_light_1_occlusion_1_frame_165, , camera, PINHOLE, 1920, 1080, 953.3035, 953.3035, 959.5, 539.5
testing_light_1_occlusion_1_frame_166, , camera, PINHOLE, 1920, 1080, 1498.329, 1498.329, 959.5, 539.5
testing_light_1_occlusion_1_frame_167, , camera, PINHOLE, 1920, 1080, 1558.375, 1558.375, 959.5, 539.5
testing_light_1_occlusion_1_frame_168, , camera, PINHOLE, 1920, 1080, 899.9656, 899.9656, 959.5, 539.5
testing_light_1_occlusion_1_frame_169, , camera, PINHOLE, 1920, 1080, 1101.222, 1101.222, 959.5, 539.5
testing_light_1_occlusion_1_frame_170, , camera, PINHOLE, 1920, 1080, 1483.091, 1483.091, 959.5, 539.5
testing_light_1_occlusion_1_frame_171, , camera, PINHOLE, 1920, 1080, 1213.426, 1213.426, 959.5, 539.5
testing_light_1_occlusion_1_frame_172, , camera, PINHOLE, 1920, 1080, 1063.393, 1063.393, 959.5, 539.5
testing_light_1_occlusion_1_frame_173, , camera, PINHOLE, 1920, 1080, 1097.78, 1097.78, 959.5, 539.5
testing_light_1_occlusion_1_frame_174, , camera, PINHOLE, 1920, 1080, 861.0071, 861.0071, 959.5, 539.5
testing_light_1_occlusion_1_frame_175, , camera, PINHOLE, 1920, 1080, 828.9948, 828.9948, 959.5, 539.5
testing_light_1_occlusion_1_frame_176, , camera, PINHOLE, 1920, 1080, 1974.68, 1974.68, 959.5, 539.5
testing_light_1_occlusion_1_frame_177, , camera, PINHOLE, 1920, 1080, 1412.193, 1412.193, 959.5, 539.5
testing_light_1_occlusion_1_frame_178, , camera, PINHOLE, 1920, 1080, 1074.822, 1074.822, 959.5, 539.5
testing_light_1_occlusion_1_frame_179, , camera, PINHOLE, 1920, 1080, 793.0991, 793.0991, 959.5, 539.5
testing_light_1_occlusion_1_frame_180, , camera, PINHOLE, 1920, 1080, 1626.204, 1626.204, 959.5, 539.5
testing_light_1_occlusion_1_frame_181, , camera, PINHOLE, 1920, 1080, 1947.541, 1947.541, 959.5, 539.5
testing_light_1_occlusion_1_frame_182, , camera, PINHOLE, 1920, 1080, 969.9135, 969.9135, 959.5, 539.5
testing_light_1_occlusion_1_frame_183, , camera, PINHOLE, 1920, 1080, 1221.373, 1221.373, 959.5, 539.5
testing_light_1_occlusion_1_frame_184, , camera, PINHOLE, 1920, 1080, 1106.706, 1106.706, 959.5, 539.5
testing_light_1_occlusion_1_frame_185, , camera, PINHOLE, 1920, 1080, 1513.087, 1513.087, 959.5, 539.5
testing_light_1_occlusion_1_frame_186, , camera, PINHOLE, 1920, 1080, 1872.822, 1872.822, 959.5, 539.5
testing_light_1_occlusion_1_frame_187, , camera, PINHOLE, 1920, 1080, 832.6616, 832.6616, 959.5, 539.5
testing_light_1_occlusion_1_frame_188, , camera, PINHOLE, 1920, 1080, 1231.832, 1231.832, 959.5, 539.5
testing_light_1_occlusion_1_frame_189, , camera, PINHOLE, 1920, 1080, 1183.43, 1183.43, 959.5, 539.5
testing_light_1_occlusion_1_frame_190, , camera, PINHOLE, 1920, 1080, 986.6595, 986.6595, 959.5, 539.5
testing_light_1_occlusion_1_frame_191, , camera, PINHOLE, 1920, 1080, 820.141, 820.141, 959.5, 539.5
testing_light_1_occlusion_1_frame_192, , camera, PINHOLE, 1920, 1080, 1004.245, 1004.245, 959.5, 539.5
testing_light_1_occlusion_1_frame_193, , camera, PINHOLE, 1920, 1080, 1735.012, 1735.012, 959.5, 539.5
testing_light_1_occlusion_1_frame_194, , camera, PINHOLE, 1920, 1080, 1952.254, 1952.254, 959.5, 539.5
testing_light_1_occlusion_1_frame_195, , camera, PINHOLE, 1920, 1080, 1810.284, 1810.284, 959.5, 539.5
testing_light_1_occlusion_1_frame_196, , camera, PINHOLE, 1920, 1080, 1691.951, 1691.951, 959.5, 539.5
testing_light_1_occlusion_1_frame_197, , camera, PINHOLE, 1920, 1080, 882.3218, 882.3218, 959.5, 539.5
testing_light_1_occlusion_1_frame_198, , camera, PINHOLE, 1920, 1080, 1223.114, 1223.114, 959.5, 539.5
testing_light_1_occlusion_1_frame_199, , camera, PINHOLE, 1920, 1080, 789.4661, 789.4661, 959.5, 539.5
testing_light_1_occlusion_1_frame_200, , camera, PINHOLE, 1920, 1080, 833.4228, 833.4228, 959.5, 539.5
testing_light_1_occlusion_1_frame_201, , camera, PINHOLE, 1920, 1080, 1746.505, 1746.505, 959.5, 539.5
testing_light_1_occlusion_1_frame_202, , camera, PINHOLE, 1920, 1080, 1631.667, 1631.667, 959.5, 539.5
testing_light_1_occlusion_1_frame_203, , camera, PINHOLE, 1920, 1080, 1606.499, 1606.499, 959.5, 539.5
testing_light_1_occlusion_1_frame_204, , camera, PINHOLE, 1920, 1080, 895.2039, 895.2039, 959.5, 539.5
testing_light_1_occlusion_1_frame_205, , camera, PINHOLE, 1920, 1080, 1453.729, 1453.729, 959.5, 539.5
testing_light_1_occlusion_1_frame_206, , camera, PINHOLE, 1920, 1080, 1348.714, 1348.714, 959.5, 539.5
testing_light_1_occlusion_1_frame_207, , camera, PINHOLE, 1920, 1080, 1329.693, 1329.693, 959.5, 539.5
testing_light_1_occlusion_1_frame_208, , camera, PINHOLE, 1920, 1080, 1396.993, 1396.993, 959.5, 539.5
testing_light_1_occlusion_1_frame_209, , camera, PINHOLE, 1920, 1080, 1201.949, 1201.949, 959.5, 539.5
testing_light_1_occlusion_1_frame_210, , camera, PINHOLE, 1920, 1080, 775.5341, 775.5341, 959.5, 539.5
testing_light_1_occlusion_1_frame_211, , camera, PINHOLE, 1920, 1080, 1372.682, 1372.682, 959.5, 539.5
testing_light_1_occlusion_1_frame_212, , camera, PINHOLE, 1920, 1080, 978.4781, 978.4781, 959.5, 539.5
testing_light_1_occlusion_1_frame_213, , camera, PINHOLE, 1920, 1080, 1081.629, 1081.629, 959.5, 539.5
testing_light_1_occlusion_1_frame_214, , camera, PINHOLE, 1920, 1080, 1848.948, 1848.948, 959.5, 539.5
testing_light_1_occlusion_1_frame_215, , camera, PINHOLE, 1920, 1080, 1830.561, 1830.561, 959.5, 539.5
testing_light_1_occlusion_1_frame_216, , camera, PINHOLE, 1920, 1080, 1379.149, 1379.149, 959.5, 539.5
testing_light_1_occlusion_1_frame_217, , camera, PINHOLE, 1920, 1080, 1658.373, 1658.373, 959.5, 539.5
testing_light_1_occlusion_1_frame_218, , camera, PINHOLE, 1920, 1080, 1617.605, 1617.605, 959.5, 539.5
testing_light_1_occlusion_1_frame_219, , camera, PINHOLE, 1920, 1080, 1020.264, 1020.264, 959.5, 539.5
testing_light_1_occlusion_1_frame_220, , camera, PINHOLE, 1920, 1080, 1304.873, 1304.873, 959.5, 539.5
testing_light_1_occlusion_1_frame_221, , camera, PINHOLE, 1920, 1080, 1814.368, 1814.368, 959.5, 539.5
testing_light_1_occlusion_1_frame_222, , camera, PINHOLE, 1920, 1080, 1040.949, 1040.949, 959.5, 539.5
testing_light_1_occlusion_1_frame_223, , camera, PINHOLE, 1920, 1080, 1445.688, 1445.688, 959.5, 539.5
testing_light_1_occlusion_1_frame_224, , camera, PINHOLE, 1920, 1080, 1793.788, 1793.788, 959.5, 539.5
testing_light_1_occlusion_1_frame_225, , camera, PINHOLE, 1920, 1080, 776.3809, 776.3809, 959.5, 539.5
testing_light_1_occlusion_1_frame_226, , camera, PINHOLE, 1920, 1080, 824.9923, 824.9923, 959.5, 539.5
testing_light_1_occlusion_1_frame_227, , camera, PINHOLE, 1920, 1080, 1613.275, 1613.275, 959.5, 539.5
testing_light_1_occlusion_1_frame_228, , camera, PINHOLE, 1920, 1080, 1161.749, 1161.749, 959.5, 539.5
testing_light_1_occlusion_1_frame_229, , camera, PINHOLE, 1920, 1080, 1332.206, 1332.206, 959.5, 539.5
testing_light_1_occlusion_1_frame_230, , camera, PINHOLE, 1920, 1080, 1618.241, 1618.241, 959.5, 539.5
